system_key,manufacturer,level,collar_height_mm,stated_length_is,notes,catalog_source,verified
Straumann Standard Plus,Straumann,tissue,1.8,endosseous (collar additional),"SP/RN family incl SPS 4mm Roxolid. Primary: 702084 p.29 s4.1.2 'preparation depth must be 2mm deeper than the indicated implant length... 10mm SP... must be 12mm'; SPS brochure 490.032: 'The 4mm implants are Soft Tissue Level implants with the Standard Plus neck of 1.8mm'.",https://www.straumann.com/content/dam/media-center/straumann/en/documents/brochure/product-information/490.032-en_low.pdf,2026-09-07 (high)
Straumann Standard,Straumann,tissue,2.8,endosseous (collar additional),"S line, 2.8mm neck. Convention inferred by analogy from SP worked example (702084 p.18 names both necks with same template); no S-specific numeric example found.",https://www.straumann.com/content/dam/media-center/straumann/en/documents/brochure/technical-information/702084-en_low.pdf,2026-09-07 (medium-high)
Straumann Bone Level,Straumann,bone,0,overall = endosseous,"BL/BLT: rough surface to top of implant, connection shifted inward, no machined collar (702084).",https://www.straumann.com/content/dam/media-center/straumann/en/documents/brochure/technical-information/702084-en_low.pdf,2026-09-07 (high)
OsseoSpeed Astra,Dentsply Sirona (Astra Tech),bone,0,overall = endosseous,"4.0S / TX / EV all identical on this: surface to platform, no smooth collar. Matches on 'osseospeed' in model text.",https://assets.dentsplysirona.com,2026-09-07 (high)
Supershort NanoTite,Biomet 3i / ZimVie,bone,0,overall = endosseous,"Cannizzaro cross-arch 5x5: 'Supershort NanoTite, external hexagon, 5mm diameter, platform-mismatched' = the NXFOS5xx SKU family another in-set trial records explicitly; per ZimVie ext-hex brochure X-code = Full Osseotite (surface through collar, no machined band), N = NanoTite DCD chemistry. Radiograph check: no smooth coronal band visible on the 5x5 implants (MN, 07/09/2026).",https://www.zimvie.com/content/dam/zimvie-corporate/en/dental/literature/zvinst0123/zvinst0123_external_hex_ordering_info_brochure_final_secured.pdf,2026-09-07 (high; SKU codes + radiograph)
NanoTite Biomet3i,Biomet 3i / ZimVie,bone,1.25,unknown (tapered NT line: possibly Hybrid with 1.25mm machined collar counted inside stated length - unresolved),"Catches remaining 'tapered NT NanoTite' arms (11.5mm long arms only - classification-irrelevant, covariate only).",https://www.zimvie.com,2026-09-07 (medium)
T3 Zimmer,Zimmer Biomet / ZimVie,bone,0,overall = endosseous,"Collar zone is fine-roughness DAE, not machined/polished; no numeric 0mm statement found (inference from surface description).",https://www.zimvie.com/en/dental/dental-implant-systems/t3-implant.html,2026-09-07 (medium)
Osseotite Zimmer,Zimmer Biomet / Biomet 3i,bone,0,overall = endosseous,"XFOS/NXFOS codes = Full Osseotite, surface through collar to platform (ZimVie ext-hex brochure). N prefix = NanoTite/DCD surface chemistry, not geometry. Sibling OSS/OSM Hybrid codes have 2-3mm machined collar - our SKUs are X-coded. Legacy 5/6mm SKUs extrapolated from current catalogue naming.",https://www.zimvie.com/content/dam/zimvie-corporate/en/dental/literature/zvinst0123/zvinst0123_external_hex_ordering_info_brochure_final_secured.pdf,2026-09-07 (medium)
NobelSpeedy Nobel,Nobel Biocare,bone,0.3,overall (includes collar),"Shorty and Groovy share ~0.3mm smooth machined collar counted inside stated length (design-comparison paper, not Nobel IFU). Effect negligible.",https://store.nobelbiocare.com,2026-09-07 (medium)
Southern Implants,Southern Implants (Pty) Ltd,bone,0,overall = endosseous,"Standard grit-blasted line roughened to platform per FDA 510(k) K163634; 4.0x6mm Ex Hex Tapered SKU confirmed there. Optional MSC machined-collar variant exists, height unverified - check trial used standard line.",https://www.accessdata.fda.gov/cdrh_docs/pdf16/K163634.pdf,2026-09-07 (medium)
Titamax Neodent,Neodent (Straumann Group),bone,0,overall = endosseous,"WS Cortical/Medular: bone-level internal Morse taper family inference; primary catalogue inaccessible. LOW CONFIDENCE.",https://www.spotimplant.com/en/dental-implants/neodent/titamax-ws-cortical,2026-09-07 (low)
